fold,fp32_acc,int8_acc
1,0.4861111111111111,0.5104166666666666
2,0.3506944444444444,0.3645833333333333
3,0.4513888888888889,0.4479166666666667
4,0.4618055555555556,0.4618055555555556
5,0.4930555555555556,0.4791666666666667
6,0.4513888888888889,0.4513888888888889
7,0.3715277777777778,0.3784722222222222
8,0.4895833333333333,0.4930555555555556
9,0.4791666666666667,0.4791666666666667
10,0.5034722222222222,0.5138888888888888
